author,mbti,introverted,intuitive,thinking,perceiving,gender,age,enneagram,country,state,type,agreeableness,openness,conscientiousness,extraversion,neuroticism,is_description,is_percentile,is_score,contains_details,num_comments,en_comments,en_comments_percentage,region,continent,country_code,enneagram_type,enneagram_wing,is_native_english_country,predicted_test,test_name,test_scale,16pers_ta,test_result_type,is_female,is_female_pred,is_female_proba
AdamWe,,,,,,,,,,,percentiles,44.0,30.0,52.0,7.0,93.0,,,1.0,0.0,837,822,98.2078853,,,,,,,0.0,outofservice,percentiles,,percentiles,,0,0.08005222061795768
Agewalker,,,,,,,,,eu,,scores,11.0,49.0,20.0,93.0,6.0,,,1.0,1.0,2126,2014,94.73189087,,europe,eu,,,0.0,1.0,understand myself,percentiles,,percentiles,,0,0.017811946084042202
Ajubbajub,,,,,,,,,,,percentiles,63.0,88.0,58.0,62.0,5.0,,,1.0,1.0,3107,2886,92.88702929,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.03464766275292154
Alfred_Marshall,,,,,,,,,us,,percentiles,73.0,51.0,98.0,47.0,61.0,,,1.0,1.0,1135,869,76.56387665,,north america,us,,,1.0,0.0,ipip120,percentiles,,percentiles,,0,0.004404870197766272
AliceFishyWishy,,,,,,f,,,,,scores,71.0,61.0,50.0,43.0,23.0,,,1.0,1.0,1411,1382,97.94472006,,,,,,,1.0,ipip120,percentiles,,percentiles,1.0,1,0.5842967697518879
Allie1113,,,,,,,,,,,description,15.0,15.0,50.0,15.0,85.0,1.0,,,,47,45,95.74468085,,,,,,,1.0,ipip120,percentiles,,description,,0,0.20667388784725851
AlmightyWibble,,,,,,,19.0,,,,percentiles,69.0,11.0,1.0,34.0,99.0,,,1.0,1.0,4520,3826,84.6460177,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.03885163466144159
Alsedarna,,,,,,,,,,,percentiles,77.0,94.0,10.0,57.0,15.0,,1,,1.0,267,266,99.62546816,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.004684576023442944
Amator,,,,,,m,35.0,,,,percentiles,85.0,97.0,61.0,87.0,67.0,,,1.0,0.0,6426,6325,98.42826019,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.08239065085456604
AmazonExplorer,infj,1.0,1.0,0.0,0.0,,22.0,,brasil,,percentiles,20.0,45.0,28.0,1.0,82.0,,1,,,4554,4437,97.43083004,,south america,br,,,0.0,0.0,personality assessor,percentiles,t,percentiles,,0,0.022899151741516167
Ambedo_1,infj,1.0,1.0,0.0,0.0,m,21.0,5w4,,,percentiles,11.0,6.0,61.0,1.0,45.0,,,1.0,0.0,3501,3347,95.60125678,,,,5.0,4.0,,0.0,ipip120,percentiles,a,percentiles,0.0,0,0.05547308656970353
AmericanRed91,,,,,,f,25.0,,,,description,15.0,15.0,50.0,15.0,85.0,1.0,,,1.0,1034,1005,97.19535783,,,,,,,0.0,hexaco,percentiles,,description,1.0,1,0.9807940927780222
Angry_Ram,,,,,,f,24.0,,,,percentiles,1.0,84.0,1.0,34.0,52.0,,,1.0,1.0,1656,1384,83.57487923,,,,,,,0.0,ipip300,percentiles,,percentiles,1.0,1,0.9919665709068096
ArchPrime,infp,1.0,1.0,0.0,1.0,,,4w5,,,percentiles,13.0,61.0,1.0,2.0,26.0,,1,,1.0,12,12,100.0,,,,4.0,5.0,,1.0,understand myself,percentiles,,percentiles,,0,0.013744140060585823
ArchieT7,,,,,,,,,,,percentiles,97.0,99.0,16.0,1.0,70.0,,,1.0,1.0,132,123,93.18181818,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.12383364177058187
AresXI,,,,,,,,,,,percentiles,88.0,83.0,45.0,5.0,96.0,,,1.0,1.0,599,569,94.99165275,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.05749535166577216
Astronomy1,intp,1.0,1.0,1.0,1.0,f,19.0,2w1,,,percentiles,59.0,86.0,44.5,47.0,43.0,,,1.0,1.0,1565,1519,97.06070288,,,,2.0,1.0,,0.0,ipip120,percentiles,,percentiles,1.0,0,0.3057193051394061
AtlasPSD,,,,,,,,,,,percentiles,29.0,96.0,90.0,89.0,1.0,,1,,1.0,51,48,94.11764706,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.07847804317184273
AureliusPendragon,,,,,,m,29.0,,,,percentiles,17.0,8.0,16.0,41.0,25.0,,1,,1.0,3998,3964,99.14957479,,,,,,,1.0,understand myself,percentiles,,percentiles,0.0,0,0.046706491215648585
AverageJoeflake,,,,,,,,,,,percentiles,87.0,93.0,20.0,5.0,96.0,,1,,1.0,64,63,98.4375,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.2885620094667051
Avonite,,,,,,,,,,,percentiles,82.0,9.0,35.0,1.0,82.0,,,1.0,1.0,30,25,83.33333333,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.4046989959604813
AyyyLmaoB0ss,,,,,,,17.0,,,,scores,61.0,64.0,7.0,25.0,84.0,,,1.0,1.0,80,72,90.0,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.21273882145905
BadgerKid96,infp,1.0,1.0,0.0,1.0,f,20.0,4w5,,,percentiles,77.0,73.0,73.0,1.0,98.0,,,1.0,1.0,2927,2841,97.06183806,,,,4.0,5.0,,0.0,ipip300,percentiles,,percentiles,1.0,1,0.7573426875200633
Baron_Benite,,,,,,m,18.0,,,,percentiles,88.0,1.0,9.0,3.0,89.0,,,1.0,1.0,1534,1437,93.67666232,,,,,,,0.0,ipip120,percentiles,,percentiles,0.0,0,0.04216398327155119
Benevolent_Tyrant,,,,,,,,,canada,,percentiles,44.0,54.0,6.0,0.0,98.0,,1,,,5896,5666,96.0990502,,north america,ca,,,1.0,0.0,ipip120,percentiles,,percentiles,,0,0.02095815454438928
Berkky_,,,,,,,,,,,scores,26.0,96.0,28.0,75.0,24.0,,,1.0,1.0,39,35,89.74358974,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.12594464550077167
BethyBell,,,,,,f,,,,,description,95.0,85.0,50.0,5.0,95.0,1.0,,,1.0,6,6,100.0,,,,,,,0.0,hexaco,percentiles,,description,1.0,0,0.13458642997268586
BetweenTwoWords,,,,,,m,21.0,,uk,,scores,20.0,50.0,50.0,30.0,70.0,,,1.0,0.0,5350,5161,96.46728972,,europe,gb,,,1.0,1.0,123test,percentiles,,percentiles,0.0,0,0.3920602268158931
Bhikkhu_Jayasara,,,,,,,,,,,percentiles,100.0,69.0,97.0,86.0,39.0,,,1.0,0.0,326,325,99.69325153,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.11007642072574572
BigWilldo,,,,,,m,22.0,,,,scores,98.0,71.0,52.0,21.0,46.0,,,1.0,0.0,158,152,96.20253165,,,,,,,1.0,ipip120,percentiles,,percentiles,0.0,0,0.4358013430528671
BlackCombos,infp,1.0,1.0,0.0,1.0,m,22.0,,,,percentiles,97.0,99.0,14.0,57.0,41.0,,,1.0,0.0,6317,6227,98.57527307,,,,,,,0.0,ipip300,percentiles,,percentiles,0.0,0,0.002627775526666709
Blackdutchie,,,,,,,,,netherlands,,percentiles,93.0,81.0,40.0,29.0,69.0,,,1.0,1.0,2326,1490,64.05846948,,europe,nl,,,0.0,0.0,ipip120,percentiles,,percentiles,,0,0.11426944188625665
BlackendLight,,,,,,m,24.0,,,,percentiles,0.0,94.0,98.0,92.0,0.0,,,1.0,1.0,1923,1857,96.56786271,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.046572751697666386
Blatti,,,,,,,,,,,description,85.0,85.0,15.0,15.0,95.0,1.0,,,,434,407,93.77880184,,,,,,,1.0,understand myself,percentiles,,description,,0,0.09753584791985448
Blehhh55,infp,1.0,1.0,0.0,1.0,m,23.0,,,,scores,99.0,98.0,4.0,10.0,96.0,,,1.0,1.0,810,789,97.40740741,,,,,,,1.0,ipip120,percentiles,,percentiles,0.0,0,0.30977074976644403
Bonhand,istp,1.0,0.0,1.0,1.0,,,,,,percentiles,74.0,57.0,25.0,60.0,87.0,,1,,1.0,134,111,82.8358209,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.02132666131578051
BookOfMoons,,,,,,,,,,,percentiles,0.0,98.0,41.0,63.0,26.0,,1,,1.0,10,10,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.04932837300011758
BoutOfDoubt,,,,,,,17.0,,,,percentiles,15.0,85.0,0.0,0.0,84.0,,1,,1.0,511,497,97.26027397,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.04870224508020597
Brewingupabrownstorm,,,,,,f,25.0,,,,percentiles,54.0,92.0,80.0,84.0,90.0,,1,,1.0,162,156,96.2962963,,,,,,,0.0,understand myself,percentiles,,percentiles,1.0,1,0.9251606345419764
BronzeChrash,,,,,,,,,,,percentiles,8.0,80.0,28.0,4.0,64.0,,1,,1.0,350,321,91.71428571,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.014004976263246215
Burdling,,,,,,m,23.0,,,,percentiles,0.0,97.0,10.0,82.0,5.0,,1,,1.0,1,1,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,1,0.6062405579076036
CLENVENMETINS,entp,0.0,1.0,1.0,1.0,m,27.0,6w5,,,percentiles,49.0,60.5,45.0,36.5,85.5,,,1.0,0.0,3109,2979,95.81859119,,,,6.0,5.0,,0.0,ipip120,percentiles,,percentiles,0.0,0,0.052045712399955285
CaligarisMirror,,,,,,,,,,,percentiles,8.0,78.0,38.0,34.0,76.0,,1,,1.0,33,30,90.90909091,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.21366111480131145
CapitalistWoman,,,,,,f,60.0,,,,percentiles,87.0,98.0,96.0,96.0,61.0,,1,,1.0,5,5,100.0,,,,,,,1.0,understand myself,percentiles,,percentiles,1.0,1,0.8126279066600977
CaptainDudeGuy,intj,1.0,1.0,1.0,0.0,m,,,us,,description,15.0,95.0,85.0,15.0,5.0,1.0,,,1.0,7311,7183,98.24921351,,north america,us,,,1.0,0.0,hexaco,percentiles,,description,0.0,0,0.19874552751233435
Captaindecius,infp,1.0,1.0,0.0,1.0,m,,4w5,,,percentiles,82.0,99.0,0.0,6.0,91.0,,,1.0,1.0,1336,1310,98.05389222,,,,4.0,5.0,,0.0,ipip300,percentiles,,percentiles,0.0,0,0.018154954725000862
Casconvacc,,,,,,m,21.0,,,,percentiles,0.0,68.0,87.0,20.0,10.0,,1,,1.0,287,267,93.03135889,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.4824377128531734
Casualfaget,,,,,,,,,,,percentiles,17.0,92.0,6.0,34.0,34.0,,1,,1.0,13,8,61.53846154,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.40826674275856417
Cat-Nipped,intj,1.0,1.0,1.0,0.0,f,21.0,4w5,us,,percentiles,21.0,28.0,33.0,31.0,5.0,,,1.0,1.0,1212,1202,99.17491749,,north america,us,4.0,5.0,1.0,0.0,ipip120,percentiles,,percentiles,1.0,1,0.9988789069585636
ChanceTheFoxxo,,,,,,,,,,,percentiles,100.0,60.0,19.0,30.0,40.0,,1,,,18,17,94.44444444,,,,,,,0.0,personality assessor,percentiles,,percentiles,,0,0.2497117801651673
ChestNutSon,,,,,,m,23.0,,netherlands,,percentiles,94.0,89.0,28.0,0.0,44.0,,,1.0,1.0,73,70,95.89041096,,europe,nl,,,0.0,0.0,understand myself,percentiles,,percentiles,0.0,0,0.09594444666257493
Ciryher,entp,0.0,1.0,1.0,1.0,,,,,,description,85.0,95.0,15.0,50.0,15.0,1.0,,,,10231,10059,98.31883491,,,,,,,1.0,understand myself,percentiles,,description,,0,0.08481889458949607
Clayton66,,,,,,,,,,,percentiles,80.0,95.0,69.0,14.0,6.0,,1,,1.0,2,2,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.3762458606138196
ClosetedAndQueer,infp,1.0,1.0,0.0,1.0,f,25.0,,,,description,50.0,50.0,15.0,15.0,85.0,1.0,,,,397,377,94.96221662,,,,,,,0.0,ipip120,percentiles,,description,1.0,1,0.959368425542907
CmdBelial,infj,1.0,1.0,0.0,0.0,m,24.0,,,,percentiles,27.0,87.0,8.0,2.0,93.0,,,1.0,0.0,531,530,99.81167608,,,,,,,0.0,outofservice,percentiles,,percentiles,0.0,0,0.3282116109242514
Cocktorpedo,,,,,,m,,,,,percentiles,31.0,95.0,1.0,34.0,99.0,,,1.0,1.0,15042,13745,91.3774764,,,,,,,0.0,ipip120,percentiles,,percentiles,0.0,0,0.02236981113701383
ColdOxygen,istp,1.0,0.0,1.0,1.0,,22.0,,,,percentiles,90.0,13.0,20.0,2.0,99.0,,,1.0,1.0,1675,1564,93.37313433,,,,,,,0.0,ipip300,percentiles,,percentiles,,0,0.2746722837790178
Color0nTheRadio,,,,,,,,,,,percentiles,74.0,71.0,49.0,22.0,74.0,,1,,1.0,1,1,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,1,0.5137201256602406
Composer1989,infp,1.0,1.0,0.0,1.0,m,29.0,,,,scores,65.0,69.0,3.0,3.0,78.0,,,1.0,1.0,143,141,98.6013986,,,,,,,1.0,understand myself,percentiles,,percentiles,0.0,0,0.4437200530446149
CoryTV,entp,0.0,1.0,1.0,1.0,m,40.0,7w8,,,scores,2.0,95.0,2.0,74.0,22.0,,,1.0,0.0,3130,3060,97.76357827,,,,7.0,8.0,,1.0,understand myself,percentiles,,percentiles,0.0,0,0.035326783594826376
CountryBoy014,,,,,,,,,us,,percentiles,11.0,1.0,57.0,2.0,26.0,,1,,,52,48,92.30769231,,north america,us,,,1.0,0.0,personality assessor,percentiles,,percentiles,,0,0.047835945068027734
Craig,intj,1.0,1.0,1.0,0.0,,,,,,scores,10.0,90.0,60.0,20.0,50.0,,,1.0,0.0,1427,1404,98.38822705,,,,,,,1.0,123test,percentiles,,percentiles,,0,0.020320846818386404
Crunchthemoles,,,,,,m,30.0,,,,percentiles,14.0,94.0,2.0,23.0,98.0,,,1.0,0.0,402,383,95.27363184,,,,,,,0.0,ipip120,percentiles,,percentiles,0.0,0,0.15447006752930464
Cuandoman,,,,,,m,,,,,percentiles,0.0,27.0,31.0,14.0,5.0,,,1.0,1.0,154,150,97.4025974,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.15845124795266602
Curt04,intj,1.0,1.0,1.0,0.0,m,27.0,,,,percentiles,0.0,88.0,73.0,3.0,78.0,,,1.0,0.0,4203,4151,98.76278848,,,,,,,0.0,ipip120,percentiles,,percentiles,0.0,0,0.0295860888432044
Cyllya,,,,,,,,,,,scores,75.0,33.0,16.0,1.0,91.0,,,1.0,1.0,614,614,100.0,,,,,,,1.0,ipip120,percentiles,,percentiles,,1,0.9002474467900562
Cynaria,infp,1.0,1.0,0.0,1.0,,,,,,percentiles,83.0,91.0,15.0,13.0,94.0,,,1.0,0.0,156,151,96.79487179,,,,,,,0.0,ipip300,percentiles,,percentiles,,1,0.95679623380234
DBucks1975,,,,,,m,42.0,,,,percentiles,43.0,80.0,38.0,47.0,34.0,,1,,1.0,3247,3149,96.98182938,,,,,,,1.0,understand myself,percentiles,,percentiles,0.0,0,0.22198282642889886
DDickens1192,,,,,,,,,,,percentiles,54.0,97.0,85.0,77.0,82.0,,,1.0,1.0,74,68,91.89189189,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.03911537224032472
DF44,,,,,,m,,,uk,,percentiles,71.0,78.0,6.0,1.0,99.0,,,1.0,1.0,4678,4199,89.76058145,,europe,gb,,,1.0,0.0,ipip120,percentiles,,percentiles,0.0,0,0.021363391025985688
DSMan195276,infp,1.0,1.0,0.0,1.0,,,,,,percentiles,99.0,73.0,31.0,8.0,73.0,,1,,,4452,4443,99.79784367,,,,,,,0.0,ipip300,percentiles,,percentiles,,0,0.006551488623264763
DaLN,,,,,,,,,,,percentiles,46.0,92.0,17.0,31.0,24.0,,,1.0,1.0,20,19,95.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,1,0.5338944928948204
DanSoulKnight,,,,,,,,,,,percentiles,46.0,45.0,20.0,16.0,87.0,,1,,1.0,1,1,100.0,,,,,,,1.0,understand myself,percentiles,,percentiles,,1,0.6308507702242045
Dan_G1024,,,,,,,,,,,percentiles,79.0,40.0,4.0,7.0,99.0,,,1.0,1.0,20,13,65.0,,,,,,,0.0,ipip300,percentiles,,percentiles,,0,0.059049835936294
Dangalf-,intj,1.0,1.0,1.0,0.0,,,,,,percentiles,20.0,94.0,15.0,7.0,13.0,,,1.0,1.0,76,73,96.05263158,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.023001342243197373
DarkHesperus,,,,,,,,,,,scores,0.0,38.0,48.0,11.0,26.0,,,1.0,1.0,649,632,97.38058552,,,,,,,1.0,ipip120,percentiles,,percentiles,,0,0.2015889887548599
DejWoSWK,entp,0.0,1.0,1.0,1.0,m,,,,,percentiles,39.5,72.0,56.5,58.5,44.0,,,1.0,1.0,921,894,97.06840391,,,,,,,0.0,ipip120,percentiles,,percentiles,0.0,0,0.08336250826395808
DenebVegaAltair,,,,,,,18.0,,,,percentiles,64.0,44.0,33.0,8.0,88.0,,,1.0,0.0,12732,12063,94.74552309,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.03455723804891707
Deroni76,,,,,,,18.0,,bulgaria,,percentiles,40.0,54.0,1.0,19.0,95.0,,1,,,14339,13520,94.28830462,,europe,bg,,,0.0,1.0,personality assessor,percentiles,,percentiles,,0,0.006755825205286052
Derse,,,,,,m,18.0,,us,california,scores,75.0,72.5,67.5,40.0,25.0,,,1.0,0.0,2533,2318,91.51204106,w,north america,us,,,1.0,1.0,outofservice,percentiles,,percentiles,0.0,1,0.6408878970540142
DesperateMaintenance,,,,,,,,,,,percentiles,77.0,98.0,78.0,20.0,34.0,,,1.0,1.0,4,4,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.492303259672906
Dickwheel,,,,,,,21.0,,,,scores,10.0,92.5,40.0,65.0,40.0,,,1.0,0.0,3156,3070,97.27503169,,,,,,,1.0,ipip120,percentiles,,percentiles,,0,0.06991731678587315
Divector,,,,,,,,,,,percentiles,32.0,65.0,64.0,7.0,49.0,,,1.0,0.0,628,602,95.85987261,,,,,,,0.0,outofservice,percentiles,,percentiles,,0,0.06862911186459393
Dmanadatory,enfp,0.0,1.0,0.0,1.0,,,,,,percentiles,95.0,97.0,54.0,98.0,6.0,,1,,,352,324,92.04545455,,,,,,,1.0,personality assessor,percentiles,,percentiles,,0,0.04213026724037641
Doc_Mharti,intj,1.0,1.0,1.0,0.0,,,,,,percentiles,1.0,34.0,64.0,1.0,17.0,,,1.0,1.0,183,162,88.52459016,,,,,,,0.0,ipip300,percentiles,,percentiles,,0,0.08685180979146559
Doeido,enfp,0.0,1.0,0.0,1.0,,29.0,,,,description,50.0,85.0,15.0,85.0,50.0,1.0,,,,273,234,85.71428571,,,,,,,1.0,ipip120,percentiles,,description,,1,0.7637058290537224
DrJack3133,,,,,,m,33.0,,,,description,15.0,15.0,15.0,15.0,85.0,1.0,,,,1610,1586,98.50931677,,,,,,,1.0,ipip120,percentiles,,description,0.0,0,0.03361135358961015
Dravidor,,,,,,m,,,,,scores,29.5,71.5,59.0,40.5,47.5,,,1.0,1.0,528,497,94.12878788,,,,,,,1.0,ipip120,percentiles,,percentiles,0.0,0,0.1605113099746071
Dre4deau,,,,,,,,,,,percentiles,23.0,37.0,41.0,57.0,61.0,,1,,1.0,37,37,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.1457584605470706
Dream_Cancel,intx,1.0,1.0,1.0,,,,,,,percentiles,20.0,69.0,62.0,19.0,10.0,,,1.0,1.0,107,103,96.26168224,,,,,,,0.0,ipip300,percentiles,,percentiles,,0,0.020045922901010677
DrunkardGandalf,,,,,,,,,,,percentiles,46.0,64.0,8.0,9.0,44.0,,1,,1.0,3,2,66.66666667,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.4761122671975271
Duganmaster,,,,,,,,,,,percentiles,35.0,90.0,1.0,92.0,91.0,,1,,1.0,433,424,97.92147806,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.048539237042190084
Duncs11,,,,,,m,,,uk,,percentiles,12.0,6.0,58.0,59.0,28.0,,,1.0,1.0,6997,5815,83.10704588,,europe,gb,,,1.0,0.0,ipip120,percentiles,,percentiles,0.0,0,0.018546991081272723
Dungeon567,,,,,,m,25.0,,us,new york,scores,88.0,79.0,65.0,48.0,71.0,,,1.0,0.0,13138,12600,95.90500837,ne,north america,us,,,1.0,1.0,ipip120,percentiles,,percentiles,0.0,0,0.2292828774553359
EdgierDoge,,,,,,,22.0,,,,description,50.0,50.0,15.0,15.0,85.0,1.0,,,,4580,4361,95.21834061,,,,,,,0.0,qualtrics,percentiles,,description,,0,0.3934032833194396
Embarrassed_Delay,,,,,,,,,,,percentiles,67.0,63.0,22.0,17.0,82.0,,1,,,84,81,96.42857143,,,,,,,0.0,personality assessor,percentiles,,percentiles,,1,0.5614445613533932
Emin7sus4,,,,,,,,,,,percentiles,54.0,96.0,8.0,57.0,11.0,,,1.0,1.0,4,4,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.2195808288308321
Emma__L,,,,,,,,,,,description,50.0,85.0,85.0,15.0,85.0,1.0,,,,97,97,100.0,,,,,,,1.0,ipip120,percentiles,,description,,1,0.6098959715359227
EpicDarkrai491,infj,1.0,1.0,0.0,0.0,m,16.0,,,,percentiles,78.0,62.0,61.0,15.0,38.0,,,1.0,1.0,1837,1758,95.69951007,,,,,,,0.0,ipip300,percentiles,,percentiles,0.0,0,0.0685914056330511
Eric_The_Pipe,,,,,,,,,,,percentiles,11.0,75.0,3.0,53.0,76.0,,1,,1.0,11,10,90.90909091,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.008229399577498929
Erudite_Caveman,,,,,,m,,,,,percentiles,57.0,96.0,28.0,1.0,85.0,,1,,1.0,1,1,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.4848265446801308
EventHorizonMeltdown,intp,1.0,1.0,1.0,1.0,m,20.0,,,,percentiles,13.0,53.0,11.0,28.0,42.0,,1,,1.0,380,379,99.73684211,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.2418231227036753
Extremebomb,,,,,,,,,,,percentiles,33.0,72.0,66.0,17.0,12.0,,,1.0,0.0,140,140,100.0,,,,,,,0.0,ipip120,percentiles,,percentiles,,0,0.16921541909569138
FJackSteel,,,,,,f,64.0,,,,percentiles,92.0,90.0,91.0,98.0,34.0,,1,,1.0,1,1,100.0,,,,,,,1.0,understand myself,percentiles,,percentiles,1.0,0,0.3925362116951664
